Nome do Programa;Código do Programa;Nome da IES;Sigla da IES;UF;ME;DO;MP;DP
ENGENHARIA BIOMÉDICA;33051011002P5;UNIVERSIDADE DO VALE DO PARAÍBA;UNIVAP;SP;4;4;-;-
Engenharia Biomédica;33056013015P1;UNIVERSIDADE BRASIL;UNIVBRASIL;SP;4;4;-;-
Engenharia Biomédica;33144010015P8;UNIVERSIDADE FEDERAL DO ABC;UFABC;SP;3;-;-;-
ENGENHARIA CIVIL;32020015004P3;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET;MG;4;4;-;-
ENGENHARIA CIVIL;31001017028P0;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;6;6;-;-
ENGENHARIA CIVIL;33002010130P0;UNIVERSIDADE DE SÃO PAULO;USP;SP;5;5;-;-
ENGENHARIA CIVIL;33004099084P5;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ILHA SOLTEIRA;UNESP-IS;SP;4;-;-;-
ENGENHARIA CIVIL;32007019005P0;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG;4;4;-;-
ENGENHARIA CIVIL;32005016106P9;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;MG;3;-;-;-
ENGENHARIA CIVIL;31005012010P9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;RJ;6;6;-;-
ENGENHARIA CIVIL;31033016012P4;UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO;UENF;RJ;3;-;-;-
ENGENHARIA CIVIL;31004016034P9;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;RJ;4;4;-;-
ENGENHARIA CIVIL;33003017041P4;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;SP;4;4;-;-
ENGENHARIA CIVIL;30001013012P3;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;ES;3;-;-;-
ENGENHARIA CIVIL;32006012019P5;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;MG;3;-;-;-
ENGENHARIA CIVIL;31003010006P2;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;3;-;-;-
ENGENHARIA CIVIL;33072019005P4;UNIVERSIDADE SÃO JUDAS TADEU;USJT;SP;-;-;3;-
ENGENHARIA CIVIL;32002017017P7;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;4;4;-;-
Engenharia Civil;33001014018P0;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;4;4;-;-
ENGENHARIA CIVIL E AMBIENTAL;33004056089P5;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BAURU;UNESP-BAURU;SP;5;5;-;-
ENGENHARIA CIVIL ;USP/SC;SP;7;7;-;-
ENGENHARIA DA INFORMAÇÃO;33144010004P6;UNIVERSIDADE FEDERAL DO ABC;UFABC;SP;4;4;-;-
Engenharia da Nanotecnologia;31001017158P0;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;4;4;-;-
ENGENHARIA DAS CONSTRUÇÕES;32007019017P9;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG;-;-;3;-
ENGENHARIA DE ALIMENTOS;32006012172P8;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;MG;3;-;-;-
ENGENHARIA DE ALIMENTOS;33002010209P6;UNIVERSIDADE DE SÃO PAULO;USP;SP;4;4;-;-
ENGENHARIA DE ALIMENTOS;33003017029P4;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;SP;7;7;-;-
ENGENHARIA DE ALIMENTOS;32004010042P8;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;MG;A;-;-;-
Engenharia de Biomateriais;32004010031P6;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;MG;5;5;-;-
ENGENHARIA DE BIOMATERIAIS E BIOPROCESSOS;33004030170P0;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ;UNESP-ARAR;SP;-;-;3;-
Engenharia de Biossistemas;31003010089P5;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;3;-;-;-
ENGENHARIA DE CONTROLE E AUTOMAÇÃO;30004012070P2;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;IFES;ES;-;-;3;-
ENGENHARIA DE DEFESA;31007015011P8;INSTITUTO MILITAR DE ENGENHARIA;IME;RJ;4;4;-;-
ENGENHARIA DE ENERGIA;32003013004P9;UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;MG;3;-;-;-
ENGENHARIA DE ESTRUTURAS;32001010038P8;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;MG;4;4;-;-
ENGENHARIA DE INFRA-ESTRUTURA AERONÁUTICA;33011010009P6;INSTITUTO TECNOLÓGICO DE AERONÁUTICA;ITA;SP;4;4;-;-
ENGENHARIA DE MATERIAIS;32020015007P2;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET;MG;3;-;-;-
ENGENHARIA DE MATERIAIS;33002088001P4;ESCOLA DE ENGENHARIA DE LORENA;USP/EEL;SP;5;5;-;-
Engenharia de Materiais;32003013009P0;UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;MG;-;-;3;-
ENGENHARIA DE MATERIAIS - UFOP - UEMG;32007019007P3;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG;4;4;-;-
ENGENHARIA DE MATERIAIS E NANOTECNOLOGIA;33024014031P9;UNIVERSIDADE PRESBITERIANA MACKENZIE;UPM;SP;4;4;-;-
ENGENHARIA DE MINAS;32020015011P0;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET;MG;-;-;A;-
Engenharia de Processos Químicos e Bioquímicos;31001017136P7;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;-;-;3;-
Engenharia de Processos Químicos e Bioquímicos;31001017037P9;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;6;6;-;-
ENGENHARIA DE PRODUÇÃO;33063010003P0;UNIVERSIDADE PAULISTA;UNIP;SP;5;5;-;-
ENGENHARIA DE PRODUÇÃO;31005012014P4;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;RJ;5;5;-;-
ENGENHARIA DE PRODUÇÃO;32003013003P2;UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;MG;4;4;-;-
ENGENHARIA DE PRODUÇÃO;32001010050P8;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;MG;5;5;-;-
ENGENHARIA DE PRODUÇÃO;33144010174P9;UNIVERSIDADE FEDERAL DO ABC;UFABC;SP;A;-;-;-
ENGENHARIA DE PRODUÇÃO;31003010019P7;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;4;4;-;-
ENGENHARIA DE PRODUÇÃO;33001014013P8;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;5;5;-;-
ENGENHARIA DE PRODUÇÃO;33007012004P7;UNIVERSIDADE METODISTA DE PIRACICABA;UNIMEP;SP;4;4;-;-
ENGENHARIA DE PRODUÇÃO;32003013040P5;UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;MG;-;-;3;-
ENGENHARIA DE PRODUÇÃO;31005012032P2;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;RJ;-;-;4;-
ENGENHARIA DE PRODUÇÃO;33004056086P6;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BAURU;UNESP-BAURU;SP;5;5;-;-
ENGENHARIA DE PRODUÇÃO;33092010007P4;UNIVERSIDADE NOVE DE JULHO;UNINOVE;SP;4;4;-;-
ENGENHARIA DE PRODUÇÃO;33002045018P2;UNIVERSIDADE DE SÃO PAULO ;USP/SC;SP;5;5;-;-
ENGENHARIA DE PRODUÇÃO;31001017035P6;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;4;4;-;-
ENGENHARIA DE PRODUÇÃO;33001014074P7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;-;-;A;-
ENGENHARIA DE PRODUÇÃO;31003010098P4;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;-;-;3;-
Engenharia de Produção;32007019053P5;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG;A;-;-;-
Engenharia de Produção;33082014002P7;UNIVERSIDADE DE ARARAQUARA;UNIARA;SP;-;-;3;-
Engenharia de Produção;33001014039P7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;3;-;-;-
Engenharia de Produção;33004080052P0;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, GUARATINGUETÁ;UNESP-GUAR;SP;-;-;3;-
Engenharia de Produção e de Manufatura;33003025003P0;UNIVERSIDADE ESTADUAL DE CAMPINAS, LIMEIRA;UNICAMP-LI;SP;3;-;-;-
Engenharia de Produção e Sistemas;31022014001P4;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET;RJ;4;4;-;-
Engenharia de Produção e Sistemas Computacionais;31003010086P6;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;-;-;3;-
ENGENHARIA DE RESERVATÓRIO E DE EXPLORAÇÃO;31033016009P3;UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO;UENF;RJ;4;4;-;-
ENGENHARIA DE SANEAMENTO AMBIENTAL;33142017005P6;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;SP;3;-;-;-
Engenharia de Sistemas Agrícolas;33002037023P0;USP ;USP/ESALQ;SP;5;5;-;-
Engenharia de Sistemas e Automação;32004010020P4;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;MG;3;-;-;-
ENGENHARIA DE SISTEMAS E COMPUTAÇÃO;31001017004P3;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;7;7;-;-
ENGENHARIA DE SISTEMAS LOGÍSTICOS;33002010190P3;UNIVERSIDADE DE SÃO PAULO;USP;SP;4;-;-;-
ENGENHARIA DE TRANSPORTES;31007015010P1;INSTITUTO MILITAR DE ENGENHARIA;IME;RJ;3;-;-;-
ENGENHARIA DE TRANSPORTES;33002010055P9;UNIVERSIDADE DE SÃO PAULO;USP;SP;4;4;-;-
ENGENHARIA DE TRANSPORTES;33002045013P0;UNIVERSIDADE DE SÃO PAULO ;USP/SC;SP;5;5;-;-
ENGENHARIA DE TRANSPORTES;31001017038P5;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;5;5;-;-
ENGENHARIA E CIÊNCIA  DOS MATERIAIS;31033016005P8;UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO;UENF;RJ;4;4;-;-
ENGENHARIA E CIÊNCIA DE ALIMENTOS;33004153070P3;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO JOSÉ DO RIO PRETO;UNESP-SJRP;SP;5;5;-;-
Engenharia e Ciência de Materiais;33002010239P2;UNIVERSIDADE DE SÃO PAULO;USP;SP;5;5;-;-
Engenharia e Ciência de Materiais;33009015080P8;UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP;SP;4;4;-;-
ENGENHARIA E DESENVOLVIMENTO SUSTENTÁVEL;30001013036P0;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;ES;-;-;3;-
ENGENHARIA E GESTÃO DA INOVAÇÃO;33144010022P4;UNIVERSIDADE FEDERAL DO ABC;UFABC;SP;3;-;-;-
Engenharia e Gestão de Processos e Sistemas;31115004001P3;INSTITUTO DE EDUCAÇÃO TECNOLÓGICA;IETEC;MG;3;-;-;-
ENGENHARIA E TECNOLOGIA ESPACIAIS;33010013009P6;INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS;INPE;SP;4;4;-;-
ENGENHARIA ELÉTRICA;33001014072P4;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;A;-;-;-
ENGENHARIA ELÉTRICA;32001010015P8;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;MG;5;5;-;-
ENGENHARIA ELÉTRICA;32005016005P8;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;MG;5;5;-;-
ENGENHARIA ELÉTRICA;33027013002P8;CENTRO UNIVERSITÁRIO FEI;FEI;SP;4;4;-;-
ENGENHARIA ELÉTRICA;33003017021P3;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;SP;6;6;-;-
ENGENHARIA ELÉTRICA;33002045010P1;UNIVERSIDADE DE SÃO PAULO ;USP/SC;SP;7;7;-;-
ENGENHARIA ELÉTRICA;33004099080P0;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ILHA SOLTEIRA;UNESP-IS;SP;6;6;-;-
ENGENHARIA ELÉTRICA;31001017029P6;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;6;6;-;-
ENGENHARIA ELÉTRICA;31005012011P5;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;RJ;7;7;-;-
ENGENHARIA ELÉTRICA;32057016001P4;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;INATEL;MG;4;4;-;-
ENGENHARIA ELÉTRICA;30001013004P0;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;ES;5;5;-;-
ENGENHARIA ELÉTRICA;32006012001P9;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;MG;5;5;-;-
ENGENHARIA ELÉTRICA;33004170002P2;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SOROCABA;UNESP-SOR;SP;3;-;-;-
ENGENHARIA ELÉTRICA;31007015004P1;INSTITUTO MILITAR DE ENGENHARIA;IME;RJ;4;-;-;-
ENGENHARIA ELÉTRICA;33004056087P2;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BAURU;UNESP-BAURU;SP;4;4;-;-
ENGENHARIA ELÉTRICA;32003013001P0;UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;MG;5;5;-;-
ENGENHARIA ELÉTRICA;32008015002P8;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC/MG;MG;3;-;-;-
ENGENHARIA ELÉTRICA;33002010045P3;UNIVERSIDADE DE SÃO PAULO;USP;SP;6;6;-;-
Engenharia Elétrica;33144010014P1;UNIVERSIDADE FEDERAL DO ABC;UFABC;SP;4;-;-;-
Engenharia Elétrica;31022014004P3;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET;RJ;3;-;-;-
Engenharia Elétrica e  de Telecomunicações;31003010054P7;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;4;4;-;-
Engenharia Elétrica e Computação;33024014017P6;UNIVERSIDADE PRESBITERIANA MACKENZIE;UPM;SP;4;4;-;-
ENGENHARIA ELÉTRICA ;32018010007P1;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI;UFSJ;MG;3;-;-;-
ENGENHARIA ELETRÔNICA;31004016043P8;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;RJ;3;-;-;-
ENGENHARIA ELETRÔNICA E COMPUTAÇÃO;33011010005P0;INSTITUTO TECNOLÓGICO DE AERONÁUTICA;ITA;SP;4;4;-;-
ENGENHARIA ;33002010052P0;UNIVERSIDADE DE SÃO PAULO;USP;SP;4;4;-;-
ENGENHARIA FLORESTAL;32004010010P9;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;MG;4;4;-;-
ENGENHARIA GEOTÉCNICA;32007019010P4;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG;-;-;3;-
ENGENHARIA HIDRÁULICA E SANEAMENTO;33002045008P7;UNIVERSIDADE DE SÃO PAULO ;USP/SC;SP;7;7;-;-
ENGENHARIA MECÂNICA;32008015004P0;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC/MG;MG;4;4;-;-
ENGENHARIA MECÂNICA;31001017030P4;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;7;7;-;-
ENGENHARIA MECÂNICA;33021015006P5;UNIVERSIDADE DE TAUBATÉ;UNITAU;SP;-;-;3;-
ENGENHARIA MECÂNICA;32003013002P6;UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;MG;4;4;-;-
ENGENHARIA MECÂNICA;32007019054P1;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG;A;-;-;-
ENGENHARIA MECÂNICA;33001014073P0;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;A;-;-;-
ENGENHARIA MECÂNICA;31004016044P4;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;RJ;3;3;-;-
ENGENHARIA MECÂNICA;31005012012P1;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;RJ;7;7;-;-
ENGENHARIA MECÂNICA;33002010046P0;UNIVERSIDADE DE SÃO PAULO;USP;SP;5;5;-;-
ENGENHARIA MECÂNICA;32020015010P3;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET;MG;A;-;-;-
ENGENHARIA MECÂNICA;33002045011P8;UNIVERSIDADE DE SÃO PAULO ;USP/SC;SP;5;5;-;-
ENGENHARIA MECÂNICA;30001013011P7;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;ES;4;4;-;-
ENGENHARIA MECÂNICA;33027013003P4;CENTRO UNIVERSITÁRIO FEI;FEI;SP;3;-;-;-
ENGENHARIA MECÂNICA;32001010016P4;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;MG;4;4;-;-
ENGENHARIA MECÂNICA;33003017022P0;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;SP;5;5;-;-
ENGENHARIA MECÂNICA;33004099082P2;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ILHA SOLTEIRA;UNESP-IS;SP;4;4;-;-
ENGENHARIA MECÂNICA;32006012002P5;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;MG;7;7;-;-
ENGENHARIA MECÂNICA;31003010036P9;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;5;5;-;-
ENGENHARIA MECÂNICA;33004056080P8;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BAURU;UNESP-BAURU;SP;4;4;-;-
Engenharia Mecânica;33144010011P2;UNIVERSIDADE FEDERAL DO ABC;UFABC;SP;3;-;-;-
Engenharia Mecânica;33084017003P6;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO;IFSP;SP;3;-;-;-
Engenharia Mecânica;33021015014P8;UNIVERSIDADE DE TAUBATÉ;UNITAU;SP;3;-;-;-
Engenharia Mecânica;33087016001P2;UNIVERSIDADE SANTA CECÍLIA;UNISANTA;SP;-;-;4;4
Engenharia Mecânica;32018010006P5;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI;UFSJ;MG;4;-;-;-
ENGENHARIA MECÂNICA E TECNOLOGIA DE MATERIAIS;31022014003P7;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET;RJ;4;4;-;-
ENGENHARIA METALÚRGICA;31003010032P3;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;3;-;-;-
ENGENHARIA METALÚRGICA;33002010048P2;UNIVERSIDADE DE SÃO PAULO;USP;SP;7;7;-;-
ENGENHARIA METALÚRGICA E DE MATERIAIS;31001017031P0;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;6;6;-;-
ENGENHARIA METALÚRGICA E DE MATERIAIS;30004012001P0;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;IFES;ES;3;-;-;-
ENGENHARIA METALÚRGICA E DE MINAS;32001010017P0;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;MG;6;6;-;-
ENGENHARIA METALÚRGICA, MATERIAIS E DE MINAS;32001010174P9;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;MG;-;-;3;-
ENGENHARIA MINERAL;33002010131P7;UNIVERSIDADE DE SÃO PAULO;USP;SP;4;4;-;-
ENGENHARIA MINERAL;32007019008P0;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG;4;4;-;-
ENGENHARIA NAVAL E OCEÂNICA;33002010049P9;UNIVERSIDADE DE SÃO PAULO;USP;SP;5;5;-;-
ENGENHARIA NUCLEAR;31007015007P0;INSTITUTO MILITAR DE ENGENHARIA;IME;RJ;3;-;-;-
ENGENHARIA NUCLEAR;31001017033P3;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;6;6;-;-
ENGENHARIA OCEÂNICA;31001017032P7;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;4;4;-;-
ENGENHARIA QUIMICA;32002017049P6;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;3;-;-;-
ENGENHARIA QUÍMICA;31002013014P5;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;RJ;3;-;-;-
ENGENHARIA QUÍMICA;32006012005P4;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;MG;6;6;-;-
ENGENHARIA QUÍMICA;32011016041P0;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL;MG;3;-;-;-
ENGENHARIA QUÍMICA;32036019004P3;UNIVERSIDADE DE UBERABA;UNIUBE;MG;-;-;3;-
ENGENHARIA QUÍMICA;31003010068P8;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;3;-;-;-
ENGENHARIA QUÍMICA;33002088002P0;ESCOLA DE ENGENHARIA DE LORENA;USP/EEL;SP;3;3;-;-
ENGENHARIA QUÍMICA;31004016038P4;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;RJ;5;5;-;-
ENGENHARIA QUÍMICA;32001010044P8;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;MG;3;-;-;-
ENGENHARIA QUÍMICA;31001017036P2;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;7;7;-;-
ENGENHARIA QUÍMICA;33002010053P6;UNIVERSIDADE DE SÃO PAULO;USP;SP;7;7;-;-
ENGENHARIA QUÍMICA;33003017034P8;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;SP;6;6;-;-
ENGENHARIA QUÍMICA;33001014006P1;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;7;7;-;-
ENGENHARIA QUÍMICA;33009015176P5;UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP;SP;3;-;-;-
ENGENHARIA QUÍMICA;33027013005P7;CENTRO UNIVERSITÁRIO FEI;FEI;SP;3;-;-;-
Engenharia Química;30001013054P8;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;ES;3;-;-;-
Engenharia Química;32018010015P4;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI;UFSJ;MG;3;-;-;-
Engenharia Química, de Materiais e Processos Ambientais;31005012013P8;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;RJ;5;5;-;-
ENGENHARIA URBANA;31001017132P1;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;RJ;-;-;4;-
ENGENHARIA URBANA;33001014015P0;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;4;4;-;-
ENGENHARIA URBANA E AMBIENTAL;31005012036P8;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;RJ;-;-;3;-
ENSINO;31003010156P4;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;3;-;-;-
ENSINO;32008015013P0;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC/MG;MG;-;-;5;-
ENSINO DAS CIÊNCIAS;31035019003P8;UNIVERSIDADE DO GRANDE RIO - PROFESSOR JOSE DE SOUZA HERDY;UNIGRANRIO;RJ;-;-;4;-
Ensino das Práticas Musicais;31021018024P8;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;UNIRIO;RJ;-;-;3;-
Ensino de Artes Cênicas;31021018020P2;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;UNIRIO;RJ;-;-;3;-
Ensino de Astronomia;33002010234P0;UNIVERSIDADE DE SÃO PAULO;USP;SP;-;-;3;-
ENSINO DE CIÊNCIAS;33078017009P8;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;SP;6;6;-;-
ENSINO DE CIÊNCIAS;31050018001P7;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFRJ;RJ;-;-;5;5
ENSINO DE CIÊNCIAS;32007019026P8;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG;-;-;3;-
Ensino de Ciências;31050018003P0;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFRJ;RJ;3;-;-;-
ENSINO DE CIÊNCIAS  ;33002010003P9;UNIVERSIDADE DE SÃO PAULO;USP;SP;5;5;-;-
Ensino de Ciências, Ambiente e Sociedade;31004016063P9;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;RJ;3;-;-;-
Ensino de Ciências da Natureza;31003010085P0;UNIVERSIDADE FEDERAL FLUMINENSE;UFF;RJ;-;-;4;-
ENSINO DE CIÊNCIAS DA SAÚDE E DO AMBIENTE;32108010001P2;FACULDADE DINÂMICA DO VALE DO PIRANGA;FADIP;MG;-;-;3;-
ENSINO DE CIÊNCIAS E EDUCAÇÃO MATEMÁTICA;32004010045P7;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;MG;-;-;A;-
ENSINO DE CIÊNCIAS E MATEMÁTICA;33009015174P2;UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP;SP;3;-;-;-
ENSINO DE CIÊNCIAS E MATEMÁTICA;33078017002P3;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;SP;-;-;5;-
Ensino de Ciências e Matemática;33084017002P0;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO;IFSP;SP;-;-;3;-
Ensino de Ciências e Matemática;32006012032P1;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;MG;-;-;4;-
ENSINO DE CIÊNCIAS E SAÚDE;33107017009P6;UNIVERSIDADE ANHANGUERA DE SÃO PAULO;UNIAN-SP;SP;A;-;-;-
ENSINO DE CIÊNCIAS EXATAS;33001014029P1;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP;-;-;3;-
